Player,Season,Team,Position,GP,TOI,G,A,P,P1,P/60,P1/60,GS,GS/60,CF,CA,C+/-,CF%,Rel CF%,GF,GA,G+/-,GF%,Rel GF%,xGF,xGA,xG+/-,xGF%,Rel xGF%,iPENT,iPEND,iP+/-,iCF,iCF/60,ixGF,ixGF/60,iSh%,PDO,ZSR,TOI%,TOI% QoT,CF% QoT,TOI% QoC,CF% QoC
Emelin,2017-2018,NSH,D,71,1066.97,1,7,8,6,0.45,0.34,7.43,0.42,906,1041,-135,46.53,-7.45,39,28,11,58.21,-0.17,37.37,41.82,-4.45,47.19,-6.43,14,6,-8,123,6.92,2.29,0.13,1.89,102.97,44.24,31.89,27.58,53.55,28.78,49.98
Bitetto,2017-2018,NSH,D,30,383.63,1,1,2,1,0.31,0.16,-0.7,-0.11,327,414,-87,44.13,-7.45,11,12,-1,47.83,-6.97,12.19,14.78,-2.59,45.2,-3.07,9,5,-4,48,7.51,0.8,0.13,4.55,100.69,53.5,27.27,25.94,51.79,27.95,49.42
Watson,2017-2018,NSH,L,71,685.55,7,2,9,8,0.79,0.7,8.28,0.72,574,634,-60,47.52,-5.19,18,27,-9,40,-19.72,21.68,25.48,-3.8,45.97,-6.17,26,15,-11,139,12.17,6.45,0.56,9.46,97.99,33.04,20.6,28.14,51.17,28.29,50.05
Jarnkrok,2017-2018,NSH,C,68,831.83,12,14,26,18,1.88,1.3,26.12,1.88,763,789,-26,49.16,-3.25,35,20,15,63.64,8.5,29.73,30.54,-0.81,49.33,-1.63,6,3,-3,164,11.83,8.6,0.62,13.33,104.18,45.1,26.02,29.32,50.94,28.72,50.18
Sissons,2017-2018,NSH,C,75,839.42,7,9,16,11,1.14,0.79,20.04,1.43,790,752,38,51.23,-0.29,28,29,-1,49.12,-10.01,30,29.81,0.19,50.16,-0.62,15,8,-7,140,10.01,7.27,0.52,8.14,99.17,33.16,23.84,28.87,50.86,28.58,50.04
Smith,2017-2018,NSH,C,73,907.28,12,17,29,22,1.92,1.45,48.77,3.23,1035,794,241,56.59,7.4,45,26,19,63.38,8.64,44.26,33.05,11.21,57.25,8.93,10,11,1,271,17.92,15.78,1.04,7.19,102.18,60.63,26.44,30.04,49.44,28.8,49.83
Forsberg,2017-2018,NSH,L,62,816.9,8,25,33,27,2.42,1.98,39.19,2.88,861,768,93,52.85,2.26,45,25,20,64.29,10.69,37.04,33.51,3.53,52.5,2.5,15,12,-3,210,15.42,9.4,0.69,7.69,103.92,53.28,28.52,30.94,50.18,29.67,50.26
Fiala,2017-2018,NSH,L,74,914.82,17,13,30,26,1.97,1.71,47.76,3.13,1057,852,205,55.37,5.23,43,24,19,64.18,9.02,45.26,34.34,10.92,56.86,8.12,7,16,9,270,17.71,14.47,0.95,11.81,102.68,63.01,26.36,30.21,49.82,28.82,49.78
Turris,2017-2018,NSH,C,70,930.18,7,18,25,17,1.61,1.1,35.7,2.3,1045,905,140,53.59,4.11,47,29,18,61.84,5.16,45.36,36.04,9.32,55.72,5.55,9,14,5,177,11.42,10.01,0.65,7.29,102.71,65,27.8,29.75,50.92,28.89,49.62
Ekholm,2017-2018,NSH,D,75,1326.58,4,12,16,11,0.72,0.5,35.31,1.6,1426,1177,249,54.78,5.09,58,51,7,53.21,-5.5,56.97,50.57,6.4,52.98,3.22,17,14,-3,205,9.27,4.21,0.19,4.04,100.14,48.61,37.76,28.12,50.15,29.18,50.14
