Player,Season,Team,Position,GP,TOI,CF,CA,C+/-,CorsiForPerc,CF/60,CA/60,FF,FA,F+/-,FF%,FF/60,FA/60,SF,SA,S+/-,SF%,SF/60,SA/60,GF,GA,G+/-,GF%,GF/60,GA/60,xGF,xGA,xG+/-,xGF%,xGF/60,xGA/60,PENT,PEND,P+/-,PENT/60,PEND/60,Sh%,Sv%,FSh%,FSv%,xFSh%,xFSv%,dFSh%,dFSv%,PDO,xPDO,dPDO
ALEXEI.EMELIN,2017-2018,NSH,D,76,1282.98,1018,1336,-318,43.25,47.61,62.48,785,980,-195,44.48,36.71,45.83,546,710,-164,43.47,25.53,33.2,42,50,-8,45.65,1.96,2.34,45.66,59.2,-13.54,43.54,2.14,2.77,107,85,-22,5,3.98,7.69,92.96,5.35,94.9,5.82,93.96,-0.47,0.94,100.65,99.78,0.87
ANTHONY.BITETTO,2017-2018,NSH,D,32,430.45,362,460,-98,44.04,50.46,64.12,278,331,-53,45.65,38.75,46.14,199,242,-43,45.12,27.74,33.73,15,14,1,51.72,2.09,1.95,13.6,17.28,-3.68,44.04,1.9,2.41,42,25,-17,5.85,3.48,7.54,94.21,5.4,95.77,4.89,94.78,0.5,0.99,101.75,99.67,2.08
AUSTIN.WATSON,2017-2018,NSH,L,76,937.07,681,1017,-336,40.11,43.6,65.12,509,715,-206,41.58,32.59,45.78,367,524,-157,41.19,23.5,33.55,31,51,-20,37.8,1.98,3.27,32.17,46.82,-14.65,40.73,2.06,3,89,73,-16,5.7,4.67,8.45,90.27,6.09,92.87,6.32,93.45,-0.23,-0.58,98.71,99.77,-1.06
CALLE.JARNKROK,2017-2018,NSH,C,68,1080.2,909,1136,-227,44.45,50.49,63.1,683,848,-165,44.61,37.94,47.1,476,627,-151,43.16,26.44,34.83,47,38,9,55.29,2.61,2.11,41.78,57.66,-15.88,42.02,2.32,3.2,66,65,-1,3.67,3.61,9.87,93.94,6.88,95.52,6.12,93.2,0.76,2.32,103.81,99.32,4.5
COLTON.SISSONS,2017-2018,NSH,C,81,1303.65,1183,1259,-76,48.44,54.45,57.95,890,928,-38,48.95,40.96,42.71,630,671,-41,48.42,29,30.88,63,68,-5,48.09,2.9,3.13,59.69,63.31,-3.62,48.53,2.75,2.91,101,92,-9,4.65,4.23,10,89.87,7.08,92.67,6.71,93.18,0.37,-0.51,99.87,99.88,-0.02
CRAIG.SMITH,2017-2018,NSH,C,79,1215.15,1505,947,558,61.38,74.31,46.76,1133,710,423,61.48,55.94,35.06,812,549,263,59.66,40.09,27.11,81,34,47,70.43,4,1.68,73.83,43.43,30.4,62.96,3.65,2.14,73,83,10,3.6,4.1,9.98,93.81,7.15,95.21,6.52,93.88,0.63,1.33,103.78,100.4,3.38
FILIP.FORSBERG,2017-2018,NSH,L,67,1170.77,1359,981,378,58.08,69.65,50.27,1041,761,280,57.77,53.35,39,740,575,165,56.27,37.92,29.47,91,38,53,70.54,4.66,1.95,75.09,50.12,24.97,59.97,3.85,2.57,93,89,-4,4.77,4.56,12.3,93.39,8.74,95.01,7.21,93.41,1.53,1.59,105.69,100.63,5.06
FREDERICK.GAUDREAU,2017-2018,NSH,C,20,183.22,155,183,-28,45.86,50.76,59.93,108,140,-32,43.55,35.37,45.85,77,106,-29,42.08,25.22,34.71,7,7,0,50,2.29,2.29,5.1,8.98,-3.88,36.22,1.67,2.94,12,16,4,3.93,5.24,9.09,93.4,6.48,95,4.72,93.59,1.76,1.41,102.49,98.31,4.18
KEVIN.FIALA,2017-2018,NSH,L,80,1211.8,1499,988,511,60.27,74.22,48.92,1102,734,368,60.02,54.56,36.34,779,549,230,58.66,38.57,27.18,77,31,46,71.3,3.81,1.53,73.32,45,28.32,61.97,3.63,2.23,77,82,5,3.81,4.06,9.88,94.35,6.99,95.78,6.65,93.87,0.33,1.91,104.24,100.52,3.72
KYLE.TURRIS,2017-2018,NSH,C,76,1262.68,1519,1089,430,58.24,72.18,51.75,1146,803,343,58.8,54.46,38.16,826,620,206,57.12,39.25,29.46,84,36,48,70,3.99,1.71,74.92,49.11,25.81,60.4,3.56,2.33,73,94,21,3.47,4.47,10.17,94.19,7.33,95.52,6.54,93.88,0.79,1.63,104.36,100.42,3.94
MATTIAS.EKHOLM,2017-2018,NSH,D,81,1909.78,1905,1762,143,51.95,59.85,55.36,1418,1339,79,51.43,44.55,42.07,1009,999,10,50.25,31.7,31.39,105,85,20,55.26,3.3,2.67,92.47,89.59,2.88,50.79,2.91,2.81,156,149,-7,4.9,4.68,10.41,91.49,7.4,93.65,6.52,93.31,0.88,0.34,101.9,99.83,2.07
MATT.IRWIN,2017-2018,NSH,D,50,671.6,615,629,-14,49.44,54.94,56.19,456,465,-9,49.51,40.74,41.54,310,347,-37,47.18,27.7,31,25,27,-2,48.08,2.23,2.41,22.66,26.23,-3.57,46.35,2.02,2.34,58,58,0,5.18,5.18,8.06,92.22,5.48,94.19,4.97,94.36,0.51,-0.17,100.28,99.33,0.96
